now,现在；目前；此刻；从现在开始;现在;既然；由于;现在的；现任的；属于新一代的;=全国妇女组织;此时；如今；立刻
than,比；除以外；刚刚就；与其毋宁宁愿不如索性;小于；用以引出比较的第二部分比；表示一事紧跟另一事发生就;比较级；比起；与相比较
like,喜欢；想；愿意；希望;象；像这样；和一样；类似的;如；比如;象;好像;爱好；诸如此类；象这样的人或物;喜爱；如同；想要
other,其他；另一个；另外；对面;另外一个；别的东西；其他的东西；其余的一个;另样地；不是那样;其它；另外的；他者
how,如何；怎样；多么；询问健康状况;方法;怎么样；如何做；怎么做
then,然后；那么；那时；接着;那时;当时任职等的;于是；这时；在那时
its,其;；;指事物动物或婴儿它的;智能交通系统；智能运输系统
our,我们的；用于称上帝或圣人;我们的；〈口〉我们家;我的；耗氧速率；关于我们
two,二;一对；两人；两点钟；两岁;小白兔；两个；双
more,更多；更大的;的比较级；此外；更大的；〈废〉地位身分等更高的;莫尔；更多的数量程度；附加;摩尔；更是；较大
these,这些的;这些;陶丝；那些；这些个
want,要；希望；想要；需要;缺乏；缺少；匮乏；贫困;欲望；想要某物
way,方式；方法；途径；路;很远；大量；非常；极其;让开；除去；处分;道路；路线；方向
look,看；外观；查找；瞧;看；寻找；瞧；注意;显得；似乎；看来好像;听我说;看起来；看上去；注视
first,第一；最重要的；首要的；最优秀的;第一个人或事物；空前的成就；前所未有的事情；最低挡;首先；第一次；第一的
also,也；同样；此外；而且;同;还；亦；并且
new,刚出现的；新的；新近推出的；新买的;新东西；新事物;〈美=纯经济福利;同;新建；新品；全新
because,因为;原因；由于；强调后面的是原因
day,白天；一日；白昼；时代;日子；日期；一天
more,更多；更大的;的比较级；此外；更大的；〈废〉地位身分等更高的;莫尔；更多的数量程度；附加;摩尔；更是；较大
use,使用；利用；运用；消耗;使用；用途；用法；使用权;应用；用处
no,没有；无；并不；禁止;没有；不是；不要；用于否定的回答或陈述不;禁止；一个也没有；一点儿也没有；什么也谁也没有;否定的回答；作否定回答的人；统称投反对票者;化同=;一氧化氮；不；没有
man,成年男子；男人；人类；特定历史时期的人;在岗位上工作；操纵机器等；配备人员;表示惊奇气愤等嘿;城域网；男士
find,意外或偶然地发现；找到；找回；经寻找研究或思考发现;被发现的人尤指有趣有价值或有用者;查找；发觉；查找某文件
here,这里；这一点;现在；向这里；在这一点上；给某人东西或指出某物时说;嘿；主动提议时说;在这里；这儿；此处
thing,东西；事物；事件；行为;事情；石头人
give,给；交给；赠送；赠与;伸展性；弹性;付出；给予；授予
many,多;大量;多数人东西；大多数人；女名女子名;许多人物;许多的；很多；不少
well,好；很；大大地；对;井；水井；楼梯井；电梯井道;噢；啊；好啦；嗨;健康；身体好；状态良好；情况良好;涌出；冒出；流出；溢出;；;健康的；嗯；好吧
only,只；只有；仅；只能;仅有的；唯一的；最好的；最适当的;不过；但是；可是;仅仅；只不过；只是
those,那些的;那些人;那些人；这些；那些的
tell,告诉；说；讲述；知道;考古层层覆盖古代遗址的人工丘阜；传闻;吩咐；辨别；电话
one,一；同一个;一个人；一体；独一；一岁;人们；用来避免重复已提过的或是听者已知的事物的名称;某一个人；一致的；同一的；不变的;壹；唯一；一人
very,非常；十足；完全同样；完全同一;同一的；强调极限的地点或时间最的；甚至于;维利;很；十分；极其
her,她；一艘船;她的；属于她的；指国家的；一艘船的;她的;析氢反应；是物主代词；爱玛
even,即使；还；其实;平滑的；平的；平坦的；数量速度等变化不大的;使平均；使相等；把弄平坦；变平坦;黄昏;甚至；偶数；更
back,背；后面；后卫；腰背;支持；倒退；帮助；下赌注于赛马参赛队伍等;向后；以前；回报；回原处;背后的；后面的；后部的；过去的;返回；背部；后退
any,任何；什么；一个；一般的;丝毫；任一的；与单数可数名词连用任一；非一般的;任一;任何的；一些；任何一个
good,好;好处；好人；益处；善行;有好处；好的；优质的；符合标准的;良好；很好；佳
woman,妇女；妻子；成年女子；泛指女性;妇女的；女性的;对女人打招呼；为配备女操作人员女船员等;女士；女装
through,通过；直达；彻底；自始至终;穿过；以；由于；贯穿;结束；全程的；直通的；道路或路线直通的;透过；经过；穿越
us,我们;美国；美国码；的缩写更新服务参数
life,生命；寿命；一生；终身;生活；人生；生物
child,儿童；小孩；儿子；女儿;孩子；子女；孩童
there,那里;在那里；表示存在或发生；到那里；往那里;好啦;那儿；在那儿；那边
work,工作；作品；劳动；功;劳动；干活；奏效；运行;运转；职业；有效
down,下降；向下；下跌；降低;沿着；顺着；往下；朝着;沮丧；停机；情绪低落；悲哀;绒毛；软毛；汗毛;击倒；咽下；使倒下;羽绒；下来；羽绒服
may,可能；转折前所述情况属实也许；征求同意或表示允许可以;山楂花;五月；梅；五月份
after,以后；后来;仅次于；追赶；跟随；虽然;后来的；以后的;在以后;〈英俚〉正餐的最后一道食品如点心水果等;之后；在之后；在后面
should,应当；可以；万一；可能;必须；会；倒；的过去式;应该；将；宜
call,打电话；呼唤；呼吁；要求;呼唤；称呼；召唤；打电话叫;呼叫；调用；访问
world,世界；天下；地球；社会;世界音乐；国际；世间
over,结束；以上；多于；大于;通过；关于；遍及；翻越;走过;完了的；剩余的；在上的;一轮投球同一个投球手连续投出的六个球;越过；超过；在上方
school,上学；学院；学派；大学;教育；训练；使学会；培养;学校；流派；群
still,仍然；还；还是；依旧;然而;静止的；平静的；安静的；寂静的;安静;剧照；电影或录像的定格画面；制酒的蒸馏器;依然；仍旧
try,尝试；试图；努力；在对方球门线后带球触地;试图；想要；设法；努力;试验；试一试；试穿
in,参与；参加；穿着；进入;进入；在内；上涨；在里面;执政党；〈美口〉入口；门路；提携;流行的；时髦的;=化铟;在里面；输入端；用
as,作为；像；当作；如同;随着；正如；因为；由于;如同；指事情以同样的方式发生和一样;的复数；阿斯;砷；动脉粥样硬化；强直性脊柱炎
last,最后；最近；最终；最新;持续；持久；延续；继续;的最高级；末尾的；最后剩下的；最新流行的;最后来的人或发生的事；仅剩下的部分或事项;最后的；刚过去的；最后一个
ask,问；要求；请；询问;请求；邀请；幅移键控
need,需要；必须；特别需要；迫切要求;需要；必需；表示应该或不得不做有必要;必须；这句话;表示没有必要或询问是否有必要需要;需求；的用法；需要的
too,也；过于；非常；很;太；还；又
feel,觉得；感到；体会到；给感觉;触觉；手感；触摸；感受;感觉到；感到；触；摸;一感觉
three,三;三岁；三个人东西；板3字型;三更；叁；荒岛惊魂
when,什么时候；何时；当时；什么情况下;什么时候；何时;时候;既然；虽然；可是；在时候;时间；何时做；当的时候
state,状态；国家；状况；州;说明；陈述；声明；规定;国家提供或控制的；国事礼仪或规格的；州的；邦的;状态模式；政府；情形
never,从未；从不；绝不；未曾;表示惊讶因为觉得不可能不会吧;决不；从来没有；永不
become,成为；变成；开始变得;适合某人；与相称；使人显得漂亮；使好看;适宜
between,空间上在中间；时间上在之间;空间或时间上在中间;在之间；在两者之间；在中间
high,高的；有某高度的；离地面很高的；海拔很高的;在高处；向高处；成本价值高；数量大;最高水平；最大数量；高气压区；反气旋;最高价；高级；高位
really,的确；真正地；加强形容词或副词的语气；常用于否定句以减弱语气;真的；真的吗；实在
something,某物；某事；想来重要或值得注意的事物；左右;非常;〈婉辞〉同;东西；某事物；什么
most,大多数；最多；最大；非常;大部分；大多数人；最大限度；常作;的最高级；最大的；大多数的；的最高级;最多的；大部分的
another,别的；又一；类似的;又一；再一；另一事物或人；不同的人或事物;另一件东西；别的东西；那样的人东西;另一个；另外的；再一个的
much,很；大量；非常；十分;许多;许多的；大量的；很大程度的;很多；很多的
family,家族；亲属；子女；家庭包括父母子女;家庭的；一家所有的；适合全家人的;科；家庭成员；全家福
own,拥有；承认;本人的；自己做的；为自己的;自己的东西家属责任立场等；心爱的人;所有；特有的；欧普拉电视网
out,出去；外出；离开；出于;出路；回避的方法；托辞;〈美〉通过门窗等而出；〈美口〉沿着而去;已公开同性恋身份的;〈古〉表示愤慨谴责等;揭露;输出；开出；出局
leave,离开某人或某处；离开居住地点或群体工作单位等；遗弃；丢弃;假期；休假；准许；许可;留下；离去；出发
put,放；说；安置；安装;推；投；戳；一扔的距离;不动的;放置；摆；卖权
old,老年人；岁的人；旧事物;老的；陈年的；久的；年龄较长的;旧的；年老的；古老的
while,虽然；尽管；在期间；当的时候;一会儿；一段时间;消磨;〈古〉直至某时;而；循环；当时候
mean,意味着；意思是；打算；表示的意思;平均值；中庸；平均数；中间;刻薄；吝啬的；小气的；不善良;意指
on,对；在；根据；使用;值班；表示持续性；向前移动；穿在身上;在进行；在发生；在活动；通着;板打球人的左边;开；在上；接通
keep,使保持；继续；使耽搁；使延误;生活必需品；生活费用；城堡主楼;保存；保留；坚持
student,学生；大学生；研究生；学者;学生表；学员；研究者
why,为何；反问表示不必何必；说明理由为什么;原因；难解的问题;嗨;为什麽；为什么做；何故
let,让；允许；由；准许;出租；发球时的擦网球；租借;假设；容许；小
great,大的；巨大的；数量大的；众多的;很好地；极好地；很棒地;名人；伟人；伟大的事物;太好了；很大；好极了
same,同样;一样；相同的事物；同一个人;同一的；相同的；一模一样的;同样的；雷同
big,大大；给人印象深地;大亨；大公司;巨大的；年龄较大的；重大的；严重的;大昭和；飞越未来；真爱上错身
group,组；集团；群；类;成组；将分类；把分组;群组；团体；小组
begin,开始；启动；起始；开始存在或进行;着手；开头；开创
seem,似乎；觉得似乎；表示不确切或客气看来好像;做作的人;好象；看起来；显得
country,国家；乡村；乡下；国民;祖国的；家乡的；地方的；粗鲁的;乡村音乐；农村；地区
help,帮助；协助；救助；有用;帮助；协助；促进；援助;帮忙；帮助中心；在线帮助
talk,说话；谈话；讨论；讲话;谈话；讨论；交谈；演讲;谈论；对话
where,哪里;在哪里；在那里；到哪里；处于哪种情形;地点;在的地方；在情况下;何地；何处；什么地方
turn,转向；转身；翻；转弯;转向；转变；转动；旋动;成为；超过某一年龄或时间;旋转；转牌；翻转
problem,难题；困难；棘手的问题；逻辑题;找麻烦的；成问题的；惹乱子的;一个问题；疑难问题；常见问题
every,每；所有的；一切可能的；无论哪个都;每个；每隔；所有可能的；完全可能的;每一；每个的；每一个
start,开始；启动；出发；发动;开始；起点；开端；开头;=战略武器削减谈判;实达；起动；开始键
hand,手；手工；帮助；指针;交；递；给;汉德；人手；手形
might,可能；可以；也许；该;可以；表示可能性可能；用于有礼貌地提出建议可以;威力；强大力量;能力；势力；强权
American,美洲人；尤指美国人；美国英语;美洲的；尤指美国的;美式；美国人的；美式起司
show,演出；歌舞表演；电视或广播节目；尤指摇滚音乐会;表明；证明；给看；出示;显示；展示；秀
part,部分；部件；参加；零件;分离；分开；分别；离开;由两部分构成；在一定程度上；部分地;部分的;集；角色
about,关于；左右；大概；涉及;大约；左右；将要；到处;即将的;关于我们；关於；简介
against,反对；违反；撞；以防;在之前;对着；对阵；相反
place,地方；位置；地点；场所;安置；安放；认出；使人处于某位置;渠道；放置；销售渠道
over,结束；以上；多于；大于;通过；关于；遍及；翻越;走过;完了的；剩余的；在上的;一轮投球同一个投球手连续投出的六个球;越过；超过；在上方
such,这样；这种；〈口〉非常；某某;这；这样的人物；的人们东西;非常；指上文这样的；下述一类的;如此；如此的；那样的
again,再一次；又一次；再说；复原;再次；重新；此外
few,几个；很少;几个；很少;几个；几乎没有；对多数说的少数;一些；很少人或事物地方；有些人事物地方；不和一般多;很少的；少数的；不多的
case,病例；实例；箱；事例;包；观察；把装入箱内袋内；把插入鞘内;=-计计算机辅助软件工程;案例；工程案例；情况
most,大多数；最多；最大；非常;大部分；大多数人；最大限度；常作;的最高级；最大的；大多数的；的最高级;最多的；大部分的
week,周；星期；礼拜；一周;周次；一星期；第几周
company,公司；陪伴；商行；做伴;公司简介；同伴；伙伴
where,哪里;在哪里；在那里；到哪里；处于哪种情形;地点;在的地方；在情况下;何地；何处；什么地方
system,系统；体系；制度；体制;系统文件夹；系统运行原则
each,每个;每;每;各；各自；每一
right,右；正确；权利；右边;马上；正常；正好；顺利;恰当；正常；正当；妥当;纠正；改正；使回到正常位置；把扶正;好的；喂；要确保对方同意或明白时说对不;正确的；对的；右对齐
program,节目；计划；计程序；课程表;编写程序；为制定计划；使按安排进行;程式；项目；编程
hear,听到；听见；听说；倾听;二听；听取；得知
so,所以；以便；引出结果因此；引出下文;那么；如此；很；就;好；别动；别吵；停住;左右；;乐同；女名女子名;这么；这样；苏
question,问题；疑问；怀疑；议题;问；怀疑；质询；正式提问;询问；发问；质疑
during,在期间；在期间的某个时候;在的期间；在的时候；在过程中
work,工作；作品；劳动；功;劳动；干活；奏效；运行;运转；职业；有效
play,演奏；播放；扮演；游戏;游戏；玩耍；比赛；作用;戏剧；剧本；打
government,政府；治理；政体；内阁;统治；政治；政府学
run,跑；跑步；跑步的时间或距离；航程;跑；奔跑；跑某段距离；跑步;运行；经营；运行程序
small,尺寸数量程度等小的；服装食品家庭用品等小号的;成为小块；小小地;后腰；小件衣服尤指内衣;少的；小型；微小
number,数；数量；号；数字;标号；给编号；总计；共计;号码；数目；序号
off,从；离开；休息；休假;离；休息；休假；没有;走开;不新鲜；变质；不礼貌；不热情;起跑;杀死某人;关；关闭；断开
always,总是；一直；一贯；每次都是;永远；直到永远；始终
move,行动；移动；搬家；活动;移动；搬家；搬迁；前进;搬动；感动；移动文件
like,喜欢；想；愿意；希望;象；像这样；和一样；类似的;如；比如;象;好像;爱好；诸如此类；象这样的人或物;喜爱；如同；想要
night,晚上；夜；夜晚；举行盛事的夜晚;夜间；黑夜；夜色
live,住；居住；生存；过日子;活的；现场直播的；实况转播的；现场演出的;在现场直播；在现场表演或录制;生活；活着
Mr,用于男子的姓氏或姓名前先生；用于称呼要员先生;磁共振；中置后驱；甲基红
point,点；观点；要点；重点;指向；指点；瞄准；指引;分；点数；分数
believe,相信；认定；认为真实；把某事当真;信任；我相信；信仰
hold,抓；握；拿；支撑;拿着；抓住；抱住；托住;保持；持有；握住
today,今天；今日；现在；当今;现在；当今；在今天；在今日;今日报；今日总览；今日秀
bring,带来；引起；导致；起诉;拿来；取来；携带
happen,发生；出现；向对方表示异议或不悦等;碰巧；恰好;偶然；事情发生；事情做主语
next,下一个；下一位；下一件;随后；紧接着；其次的；依次的;下一个的；紧接着的；接下来的；紧随其后的;最近于;下一步；下一页；预见未来
without,没有；无；不用；不带;没有；缺乏;如果不;外面;不保兑；如果没有；在外面
before,以前；过去；已经;以免；不然；在以前；到为止;在以前；在面前或前面；次序或排列在前面；表示面临或临近;之前；在之前；在前面
large,大的；大规模的；大量的；服装食物日用品等大型号的;大；详细地；夸大地；航顺风地;大;巨大的；大号；大号的
all,一切；全部；大家；全都;一切；全；整个；全体;都；全部；全身；那么;一切；全部；全体;所有；所有的；全部的
million,一百万；大量;无数；百万元；百万镑美元法郎;百万个；兆；百万社
must,必须；一定；一定要；只好;〈口〉绝对需要的；特指象因性欲冲动而狂暴的;必须做或看买等的事;应该；应当；葡萄汁
home,家；家庭；家乡；住宅;回家；居住；飞机归航；火箭自动导航;在家；到家；向家；到正确的位置;家的；家庭的；在家里做的；家用的;首页；主页；网站首页
under,根据；不足；小于；在或到通过下面;小于；在下面；在水下；少于;较低的；下面的;在下；在下面；在之下
water,水；水域；河；海域;灌溉；给浇水；充满眼泪；流口水;水分；水份；祸水
room,房间；室；空间；客房;租房；合住;余地；地方；场所
write,编写；写信；写作；书写;写字板；写入；写文件
mother,母亲；嬷嬷；对年过中年的女性表示尊敬的称呼;像母亲一样照顾;妈妈；两个妈妈；地球冒险
area,区；面积；领域；方面;区域；地区；范围
national,国家的；民族的；全国的；国有的;某国的公民;国民；全国性的；国际牌
money,钱；财富；钞票；款项;金钱；货币；资金
story,小说；谎言；虚构的故事；真实情况的叙述;把作为故事讲述；用故事画装饰；说假话；〈古〉讲的故事历史;故事模式；传说；文章
young,青年人；幼崽；幼兽；幼鸟;幼小的；未成熟的；年轻的；岁数不大的;杨；年少；扬
fact,现实；实际情况；可证实的事实；真实的事物;真相；实情；论据
month,月；月份；约30天的时间；一个月的时间;本月；月份全名；取得该周期的月份
different,与众不同；不同的；有区别的；有差异的;各种的；不一样
lot,非常；许多；大量；与动词连用非常;批；命运；全部；全体;许多；大量;抽签；划分土地等；分批；分堆出售商品;左枕横-；罗得；批次
right,右；正确；权利；右边;马上；正常；正好；顺利;恰当；正常；正当；妥当;纠正；改正；使回到正常位置；把扶正;好的；喂；要确保对方同意或明白时说对不;正确的；对的；右对齐
study,学习；研究；功课；课业;学习；攻读；审视；端详;书房；练习曲；读书
book,书；书籍；著作；部;预订；预约；给某人预订飞机等座位；和歌手等预约演出日期;书籍的；书本上的；账面上的;预定；图书；卷
eye,眼的；有孔眼的；有眼状花纹的；有某种特点的眼睛的;眼睛；有眼睛的；有只眼的；视力;注视；审视；细看;目；眼光；眼部
job,工作；职位；职业；职责;承包；作包工；营私舞弊；做股票经纪;作业；约伯记；任务
word,词；单词；字；消息;措辞；用词;说得对;话；一个字；文字处理
though,虽然；尽管；然而；即使;然而;可是；不过；虽然尽管
business,商业；企业；商务；生意;业务；事务；商科
issue,发行；分发；期号；重要议题;发出；发表；出版；公布;问题；发布；问题争论点
side,边；身边；一边；一面;旁；横；副的；片面的;支持；偏袒；宽度仅有；站在的一边;旁边；侧面；方面
kind,种类；同类的人或事物;体贴的；慈祥的；友好的；宽容的;和蔼的；善良的；仁慈的
four,四;四个人或事物的一组；得四分的一击；四人赛艇的全体成员;肆；四大；四轮-
head,头；头部；头脑；负责人;主管；领导；朝某方向行进；位于排行之首;头的；主要的;海德；磁头；扬程
far,远；远远；大大；久;较远的；远端的；远方的；遥远的;非常；久远的
black,黑色；黑人；黑色人种的人;黑的；黑色的；黑暗的；漆黑的;抵制；拒绝处理货物；拒绝同某人做生意；使变黑;布莱克；纯黑
long,朗；服装的长尺寸；长裤；语长母音;长度或距离长的；询问或谈论长度或距离长；长时间的；长久的;长期地；长久地；在某一时间或事件之前或以后很久地;尤指对看似不会很快发生的事渴望;长整型；长整数；多头
both,两者;双方;与复数名词连用两个；不仅而且；和都;两者都；二者；两个都
little,小；一点点；利特尔;一点；一些；少量；少许;小的；比较小的;少的；很少；几乎没有
house,房子；房屋；住宅；舍;安置；收藏；给某人提供住处；是某物的贮藏处或安置处;豪斯医生；家
yes,答话时表示正确或真实；表示同意所说的话；反驳否定的话;回答问话招呼等是；怀疑或促人往下讲真的吗;表示同意的答复；表示同意的人;是的；有；不错
after,以后；后来;仅次于；追赶；跟随；虽然;后来的；以后的;在以后;〈英俚〉正餐的最后一道食品如点心水果等;之后；在之后；在后面
since,因为；由于；既然；从以后;此后；后来；自以后；从以来;自以后；从以来；表示气愤何曾;自从；自以来；自从以来
long,朗；服装的长尺寸；长裤；语长母音;长度或距离长的；询问或谈论长度或距离长；长时间的；长久的;长期地；长久地；在某一时间或事件之前或以后很久地;尤指对看似不会很快发生的事渴望;长整型；长整数；多头
provide,提供；供应；给予；规定;供给；准备；为某人提供某物
service,服务；使用；维修；发球;维修；维护；检修；保养;服务性的；为提供后勤资料等服务的；武装部队的；服现役用的;售后服务；客服中心；服务项目
around,周围；围绕；大约；到处;围绕；到处；环绕；绕着;在周围；在附近；四周
friend,朋友；友人；赞助者；支持者;〈诗〉与为友;友元；好友；助手
important,重要的；有重大影响的；有巨大价值的；影响很大的;重大的；重要事项；重要提示
father,父亲；爸爸；天父；上帝;成为父亲；做父亲；创立新思想；创造;神父；神甫；祖先
sit,坐；蹲；开庭；担任;坐下；静电感应晶体管；就座
away,离开；不在；时间或空间上离开某距离；去别处;运动在对方场地上比赛的;客场；远离；离去
until,到；在以前；不到不；直到为止;到时；直到为止;直到为止；直到才；直至
power,权力；力量；动力；能力;推动机器或车辆；快速前进;功率；电源；电源开关
hour,小时；整点；约一小时的时间；工作办公等的固定时间;钟头；时刻；点钟
game,游戏；比赛；运动；策略;打赌；赌输赢;甘愿尝试；有冒险精神;局；博弈；野味
often,常常；往往；时常；大多;经常；通常；每每
yet,然而；但是;还；现在；迄今为止；用于否定句和疑问句;仍然；尚；已经
line,线；线路；直线；路线;排队；衬里；填塞；交尾;线条；行；连我
political,政治的；政府的；政权的；政党的;政治上的；政治环境；政治性
end,结束；结尾；尽头；末端;结束；终止;终点；显示当前窗口的底端；结局
among,在中；周围是；在其中；之一;在之中；在中间；在之间
ever,曾经；从来；总是；到底;永远；究竟；在任何时候
stand,态度；立场；观点；保卫;站立；直立；站起来；起立;忍受；看台；坐落
bad,令人不快的；问题成堆的；坏的；质量差的;很；非常;坏人；坏事物;严重的；不好；不好的
lose,失去；丢失；遗失；减少;失败；输；丧失
however,然而；不过；无论如何；不管怎样;不管用什么方法；〈古〉虽然;可是；但是；转折
